Key,Producer,Product,Place,Region,Country,Grape,Vintage,Category,ABV,BTG,List Position,Bottle Price,Wholesale Price,BTG Price,BTG Bottle Price,Beer Price,Cider Price,Spirit Price
pellehaut-vintage-94,Château de Pellehaut,1994 Vintage Armagnac,,,France,,,Armagnac,48.5,,,$173,$81.00,$81,$275,$162,$122,$20
signatory-auchentoshan-2000,Signatory,Auchentoshan Single Malt 18yr,,Lowlands,,,,Scotch Whisky,46.0,,,$178,$84.00,$84,$285,$168,$126,$21
osocalis-xo-brandy,Osocalis,XO Alambic Brandy,,California,,,,Brandy,40.0,,,$187,$88.50,$88,$300,$177,$133,$22
mayacamas-veeder-cab-14,Mayacamas,Mt Veeder,Napa,California,USA,Cabernet Sauvignon,2014,Red,,,220,$190,$90.00,$90,$306,$180,$135,$22
pmichael-caprice-17,Peter Michael,Le Caprice,Fort Ross-Seaview,California,USA,Pinot Noir,2017,Red,,,80,$190,$90.00,$90,$306,$180,$135,$22
edradour-sauternes-10,Edradour,Highland Single Malt 12yr Sauternes Finish,,Highlands,,,,Scotch Whisky,60.7,,,$218,$105.00,$105,$357,$210,$158,$26
highland-park-single-18,Highland Park,Single Malt 18yr,,Islands,,,,Scotch Whisky,43.0,,,$228,$110.58,$110,$375,$222,$166,$27
arlot-nsg-96,Domaine de l'Arlot,Clos des Forêts Premier Cru,Nuits St. Georges,Burgundy,France,Pinot Noir,1996,Red,,,85,$241,$118.00,$118,$401,$236,$177,$29
chartreuse-green-vep,Chartreuse,VEP Green,,,France,,,Liqueur,54.0,,,$259,$127.83,$127,$434,$256,$192,$24
chartreuse-yellow-vep,Chartreuse,VEP Yellow,,,France,,,Liqueur,42.0,,,$259,$127.83,$127,$434,$256,$192,$24
ferrand-cognac-30yr,Pierre Ferrand,Sélection des Anges 30yr,,,France,,,Cognac,40.0,,,$296,$148.00,$148,$503,$296,$222,$36
siete-dantano-tequila,Siete Leguas,D'Antano Extra Añejo,,,Mexico,,,Tequila,38.0,,,$350,$200.00,$200,$680,$400,$300,$48
cristal-08,Louis Roederer,Cristal Brut,,Champagne,France,"Pinot Noir,Chardonnay",2008,Bubbles,,,100,$368,$218.67,$218,$743,$438,$329,$53
cadenhead-caolila-1984,Cadenhead,Caol Ila Single Malt 1984 34yr,,Islay,,,,Scotch Whisky,51.0,,,$472,$322.00,$322,"$1,094",$644,$483,$78
